Buurt2024,buurtnaam2024
03080000,Centrum
03080001,Schoonoordpark
03080002,Transvaal
03080003,Zandvoort
03080004,Oude-Oosterhei
03080005,Nieuwe-Oosterhei
03080006,Pekingpark
03080007,Amaliapark
03080100,Componistenwijk
03080101,Professorenwijk
03080102,Staatsliedenwijk
03080103,Schilderswijk
03080104,Eemdal-Noord
03080105,Eemdal-Zuid
03080109,Eemland waaronder Eembrugge
03080200,Wilhelminapark
03080201,Pr. Hendrikpark
03080400,Verspreide huizen Baarn
03080401,Amerpoort Sherpa
03080500,Lage Vuursche
03080501,Verspreide huizen Lage Vuursche
